Year,City,Population,Number of aggravated burglaries ,Length of electrical cable (m),Number of Dwellings
2010,Henderson (NV),257729,5,329141,114164
2010,Hialeah (FL),224669,104,315391,110828
2010,High Point City (NC),104371,51,169557,38884
2010,Hollywood (FL),140768,55,199998,69928
2010,Urban Honolulu (HI),337256,80,449495,162298
2010,Houston (TX),2099451,1682,1918282,992051
2010,Huntington Beach (CA),189992,38,263239,90245
2010,Huntsville (AL),180105,78,243181,75425
2010,Independence (MO),116830,10,147151,52933
2010,Indianapolis (IN),820445,509,1053092,289782
2010,Inglewood (CA),109673,37,165443,48304
2010,Irvine (CA),212375,60,284754,89310
2010,Irving (TX),216290,35,216362,77365
2010,Jackson (MS),173514,23,238562,78489
2010,Jacksonville (FL),821784,377,985140,356367
2010,Jersey City (NJ),247597,7,397361,103284
2010,Joliet (IL),147433,88,223832,73395
2010,Kansas City (KS),145786,17,190866,70115
2010,Kansas City (MO),459787,300,610222,215394
2010,Killeen (TX),127921,10,163332,55181
2010,Knoxville (TN),178874,28,197852,91734
2010,Lafayette (LA),120623,12,167484,47963
2010,Lakewood (CO),142980,45,217973,50633
2010,Lancaster (CA),156633,13,186210,61638
2010,Lansing (MI),114297,34,150113,38416
2010,Laredo (TX),236091,4,321085,97812
2010,Las Vegas (NV),583756,420,521335,237602
2010,Lexington-Fayette (KY),295803,101,362582,122982
2010,Lincoln (NE),258379,11,342283,107219
2010,Little Rock (AR),193524,61,214667,75674
2010,Long Beach (CA),462257,48,473576,170875
2010,Los Angeles (CA),3792621,1233,2590424,1361968
2010,Louisville (KY),597337,251,679770,204258
2010,Lowell (MA),106519,6,136444,37640
2010,Lubbock (TX),229573,32,246402,75065
2010,Madison (WI),233209,38,276974,109691
2010,Manchester (NH),109565,11,150135,43249
2010,McAllen (TX),129877,6,192893,46916
2010,McKinney City (TX),131117,6,171980,54167
2010,Memphis (TN),646889,321,650828,262127
2010,Mesa (AZ),439041,111,518844,157574
2010,Mesquite (TX),139824,47,198594,56879
2010,Metairie (LA),138481,27,190140,75351
2010,Miami (FL),399457,86,424153,188461
2010,Miami Gardens (FL),107167,51,159382,37522
2010,Midland City (TX),111147,30,179710,45181
2010,Milwaukee (WI),594833,431,553845,210549
2010,Minneapolis (MN),382578,297,455121,98484
2010,Miramar (FL),122041,59,145370,43472
2010,Mobile (AL),195111,67,269599,85271
2010,Modesto (CA),201165,36,243558,88489
2010,Montgomery (AL),205764,50,292347,74164
2010,Moreno Valley (CA),193365,4,286957,99217
2010,Murrieta (CA),103466,9,136743,41873
2010,Murfreesboro (TN),108755,44,140155,41487
2010,Naperville (IL),141853,9,220334,64276
2010,Nashville-Davidson (TN),601222,113,686024,253655
2010,New Haven (CT),129779,44,183524,56641
2010,New Orleans (LA),343829,51,472052,156437
2010,New York (NY),8175133,6261,4253428,3221837
2010,Newark (NJ),277140,8,330583,114117
2010,Newport News (VA),180719,3,249594,82122
2010,Norfolk (VA),242803,53,307065,90238
2010,Norman (OK),110925,18,150062,44559
2010,North Las Vegas (NV),216961,86,313989,100865
2010,Norwalk (CA),105549,20,145602,39466
2010,Oakland (CA),390724,116,472611,182369
2010,Oceanside (CA),167086,15,248325,59074
2010,Oklahoma City (OK),579999,198,577562,217736
2010,Olathe (KS),125872,23,181323,54870
2010,Omaha (NE),408958,97,503848,128249
2010,Ontario (CA),163924,43,282062,70149
2010,Orange (CA),136416,35,195726,52274
2010,Orlando (FL),238300,172,332297,110382
2010,Overland Park (KS),173372,36,260769,64683
2010,Oxnard (CA),197899,52,252231,87353
2010,Palmdale (CA),152750,19,234657,47042
2010,Palm Bay City (FL),103190,31,130981,44790
2010,Paradise (NV),223167,5,297722,73098
2010,Pasadena (CA),137122,7,202557,47342
2010,Pasadena (TX),149043,56,179647,60913
2010,Paterson (NJ),146199,73,210494,59628
2010,Pembroke Pines (FL),154750,42,223193,64771
2010,Peoria (AZ),154065,25,195426,65533
2010,Peoria (IL),115007,24,177455,47693
2010,Philadelphia (PA),1526006,1024,1574960,653964
2010,Phoenix (AZ),1445632,883,1157602,581958
2010,Pittsburgh (PA),305704,19,323937,138786
2010,Plano (TX),259841,29,282216,93087
2010,Pomona (CA),149058,32,185161,67779
2010,Port St. Lucie (FL),164603,52,228201,63301
2010,Portland (OR),583776,402,572288,278719
2010,Providence (RI),178042,4,253135,62775
2010,Provo (UT),112488,13,179342,48038
2010,Pueblo (CO),106595,13,152482,38956
2010,Raleigh (NC),403892,185,442743,161895
2010,Rancho Cucamonga (CA),165269,33,249373,62673
2010,Reno (NV),225221,46,254417,101442
2010,Richmond (CA),103701,53,147176,45436
2010,Richmond (VA),204214,86,223125,86555
2010,Riverside (CA),303871,115,418215,130824
2010,Rochester (MN),106769,55,136002,52673
2010,Rochester (NY),210565,79,293743,89068
2010,Rockford (IL),152871,22,220081,57400
2010,Roseville (CA),118788,4,180187,39070
2010,Sacramento (CA),466488,226,473873,204878
2010,Salem (OR),154637,10,205759,68505
2010,Salinas (CA),150441,9,202998,71626
2010,Salt Lake City (UT),186440,28,268337,64419
2010,San Antonio (TX),1327407,503,1156446,688537
2010,San Bernardino (CA),209924,56,284644,72222
2010,San Buenaventura (CA),106433,14,141203,39190
2010,San Diego (CA),1307402,709,1680591,591026
2010,San Francisco (CA),805235,176,886172,382597
2010,San Jose (CA),945942,359,820660,418855
2010,Santa Ana (CA),324528,74,370565,134833
2010,Santa Clara (CA),116468,42,180475,48538
2010,Santa Clarita (CA),176320,64,239931,54702
2010,Santa Rosa (CA),167815,10,208762,90910
2010,Savannah (GA),136286,44,198745,46538
2010,Scottsdale (AZ),217385,2,315807,81369
2010,Seattle (WA),608660,238,639664,251780
2010,Shreveport (LA),199311,59,293676,87851
2010,Simi Valley (CA),124237,50,182088,46132
2010,Sioux Falls (SD),153888,13,206287,69044
2010,South Bend (IN),101168,16,139067,41480
2010,Spokane (WA),208916,39,238681,68390
2010,Spring Valley (NV),178395,84,237802,66764
2010,Springfield (IL),116250,3,192367,56753
2010,Springfield (MA),153060,71,191611,68895
2010,Springfield (MO),159498,47,221445,72255
2010,St. Louis (MO),319294,144,455821,148321
2010,St. Paul (MN),285068,23,350783,131339
2010,St. Petersburg (FL),244769,26,230577,87192
2010,Stamford (CT),122643,54,161405,55928
2010,Sterling Heights (MI),129699,23,209175,56020
2010,Stockton (CA),291707,160,341709,97147
2010,Sunnyvale (CA),140081,3,163822,61701
2010,Sunrise Manor (NV),189372,24,268906,75383
2010,Surprise (AZ),117517,38,147861,44782
2010,Syracuse (NY),145170,56,198941,59889
2010,Tacoma (WA),198397,99,307834,84398
2010,Tallahassee (FL),181376,8,253775,73828
2010,Tampa (FL),335709,31,437125,139224
2010,Temecula (CA),100097,36,182601,40816
2010,Tempe (AZ),161719,64,201597,75187
2010,Thornton (CO),118772,52,180955,48749
2010,Thousand Oaks (CA),126683,18,148591,48459
2010,Toledo (OH),287208,30,386953,116881
2010,Topeka (KS),127473,12,197744,56851
2010,Torrance (CA),145438,34,199053,61901
2010,Tucson (AZ),520116,198,639187,207663
2010,Tulsa (OK),391906,110,415036,190566
2010,Vallejo (CA),115942,34,135165,50487
2010,Vancouver (WA),161791,9,232662,51242
2010,Victorville City (CA),115903,6,154306,55299
2010,Virginia Beach (VA),437994,108,508444,163050
2010,Visalia (CA),124442,33,172660,51479
2010,Waco (TX),124805,21,184140,51526
2010,Warren (MI),134056,13,232373,58382
2010,WASHINGTON (DC),601723,342,642243,259837
2010,Waterbury (CT),110366,34,138080,49013
2010,West Covina (CA),106098,21,172566,41609
2010,West Jordan (UT),103712,21,156728,42245
2010,West Valley City (UT),129480,10,190219,49370
2010,Westminster (CO),106114,16,168952,40242
2010,Wichita (KS),382368,5,240020,148558
2010,Wichita Falls (TX),104553,3,208496,44112
2010,Wilmington (NC),106476,1,158126,42598
2010,Winston-Salem (NC),229617,8,287079,97086
2010,Worcester (MA),181045,8,255735,89889
2010,Yonkers (NY),195976,32,278346,88839
