,Year,Country ISO3 Code,Country,Population,gdp ($),Food Imports ($),Fuel Imports ($)
54,2005,EGY,Egypt,71777678,89685724889,3520805163,3320485571
55,2005,ERI,Eritrea,4854066,1098425900,49910899,4820094
56,2005,ESP,Spain,43387477,1.1308E+12,18462452967,10630048843
57,2005,EST,Estonia,1325112,13905561150,789760472,1051171398
58,2005,ETH,Ethiopia,76167240,12306605473,185038319,626189203
59,2005,FIN,Finland,5246368,1.95778E+11,2520988840,2521729186
60,2005,FJI,Fiji,822484,3006725015,188500246,461440830
61,2005,FRA,France,61444972,2.14084E+12,29140534875,19728649743
62,2005,FRO,Faeroe Islands,49157,1730894295,96725748,120396356
63,2005,FSM,Micronesia (Fed. States of),106198,249845593,19198643,631513
64,2005,GAB,Gabon,1379465,8665736618,251286995,69352115
65,2005,GBR,United Kingdom,60291414,2.29876E+12,34293375634,15337652641
66,2005,GEO,Georgia,4475306,6411147323,477637130,500340985
67,2005,GHA,Ghana,21384034,10731883141,693469206,69456139
68,2005,GIN,Guinea,9576331,2937072009,276033962,203036105
69,2005,GMB,Gambia,1436549,624173996,226206920,105178628
70,2005,GNB,Guinea-Bissau,1421515,572853554,104437607,86914927
71,2005,GNQ,Equatorial Guinea,603648,8217368425,98430489,103639993
72,2005,GRC,Greece,11041642,2.40076E+11,4990061670,2659176018
73,2005,GRD,Grenada,102951,700431791,88566500,63946124
74,2005,GRL,Greenland,56953,1702543477,117410286,133687837
75,2005,GTM,Guatemala,12678919,27211230374,885256743,1626166101
76,2005,GUY,Guyana,760834,824880550,113692900,235122648
77,2005,HKG,"China, Hong Kong SAR",6896686,1.8157E+11,7132700294,6627633305
78,2005,HND,Honduras,6898825,9714443494,519315296,967092653
79,2005,HRV,Croatia,4388857,44821408831,1201090970,785061508
80,2005,HTI,Haiti,9260879,4154289832,395862400,22035129
81,2005,HUN,Hungary,10095964,1.10322E+11,2228141672,1539052151
82,2005,IDN,Indonesia,224480901,2.85869E+11,5271221159,9031071226
83,2005,IND,India,1127143548,8.34217E+11,4387970226,9583940450
84,2005,IRL,Ireland,4158002,2.02752E+11,4632452120,2801995626
85,2005,IRN,Iran (Islamic Republic of),70152384,1.92015E+11,2255496467,3705938542
86,2005,IRQ,Iraq,27377045,36743640204,1409595400,542730171
87,2005,ISL,Iceland,296745,16286323127,349489189,546366832
88,2005,ISR,Israel,6603677,1.33959E+11,1720800246,2462325541
89,2005,ITA,Italy,58671855,1.78628E+12,25783871212,9045831108
90,2005,JAM,Jamaica,2682149,11075778481,648763944,1204545656
91,2005,JOR,Jordan,5239417,12588665468,1006027008,472951223
92,2005,JPN,Japan,126978754,4.57188E+12,41144326621,23571330622
93,2005,KAZ,Kazakhstan,15064088,57123671734,1230182607,898268161
94,2005,KEN,Kenya,35785718,18737895401,452839484,690341333
95,2005,KGZ,Kyrgyzstan,5042381,2459876152,155081968,263982333
96,2005,KHM,Cambodia,13356424,6293046162,277122266,180462039
97,2005,KIR,Kiribati,90468,105399007,27652531,12555702
98,2005,KNA,Saint Kitts and Nevis,49139,536410666,54301413,56574053
99,2005,KOR,Republic of Korea,47033082,8.44863E+11,8522441030,10322779821
100,2005,KWT,Kuwait,2296314,80797945205,1201529952,166120816
101,2005,LAO,Lao People's Democratic Republic,5790646,2735550177,51818276,23143344
102,2005,LBN,Lebanon,3986865,21860696517,1007132421,2291376014
103,2005,LBR,Liberia,3269786,542000000,127668216,135580622
104,2005,LBY,Libya,5594450,44000000000,874968281,787547111
105,2005,LCA,Saint Lucia,165407,908558307,153381542,287345731
106,2005,LKA,Sri Lanka,19951291,24405791045,877071518,444940931
107,2005,LSO,Lesotho,1925844,1368405301,8954518,2803
108,2005,LTU,Lithuania,3286782,25962254181,1106002055,233603066
109,2005,LUX,Luxembourg,457847,37643013481,1484134230,1617796541
110,2005,LVA,Latvia,2227559,16041840426,816542197,1240585488
111,2005,MAC,"China, Macao SAR",468149,11792570016,529866123,377139399
112,2005,MAR,Morocco,30125445,59523857868,1037631274,1428925615
113,2005,MDA,Republic of Moldova,3767077,2988172424,490660605,580623237
114,2005,MDG,Madagascar,18290394,5038577519,262842631,265806227
115,2005,MDV,Maldives,297576,992473987,107144236,116486047
116,2005,MEX,Mexico,110731826,8.48947E+11,9221518184,8798690032
117,2005,MHL,Marshall Islands,52058,137556823,9358103,11747730
118,2005,MKD,TFYR Macedonia,2090044,5985809060,417886564,117072519
119,2005,MLI,Mali,11941258,5305317555,273239460,372192488
120,2005,MLT,Malta,414747,5980795756,373780098,766375509
121,2005,MNG,Mongolia,2526502,2523359941,144431690,301360626
122,2005,MOZ,Mozambique,21010376,6578515331,322228791,213491246
123,2005,MRT,Mauritania,3146164,2184444849,317301874,218978761
124,2005,MUS,Mauritius,1212752,6283796155,459755687,502323425
125,2005,MWI,Malawi,12924746,2754995877,86293425,120579780
126,2005,MYS,Malaysia,25843466,1.43533E+11,4367962603,5082778620
127,2005,NAM,Namibia,2027026,7261301442,36334912,16869196
128,2005,NER,Niger,13183798,3405134555,246780826,102600944
129,2005,NGA,Nigeria,139585891,1.12248E+11,1551714249,2414883407
130,2005,NIC,Nicaragua,5455219,6322582497,296613361,247932244
131,2005,NLD,Netherlands,16302242,6.38471E+11,19587693808,16808508905
132,2005,NOR,Norway,4624388,3.0406E+11,2787279630,1758658460
133,2005,NPL,Nepal,25292058,8130258976,80470111,320833786
134,2005,NZL,New Zealand,4134117,1.13095E+11,1743539653,1509375028
135,2005,OMN,Oman,2522325,30905071771,841040920,392016242
136,2005,PAK,Pakistan,157971415,1.096E+11,1971496718,2279955504
137,2005,PAN,Panama,3365929,15464700000,612253563,1199540757
138,2005,PER,Peru,27723281,79385073422,922016657,675205846
139,2005,PHL,Philippines,85821214,1.03066E+11,5458912144,3798389645
140,2005,PLW,Palau,19907,206328827,8792821,82033
141,2005,PNG,Papua New Guinea,6095959,4901584516,186582564,130715109
142,2005,POL,Poland,38206337,3.03912E+11,4586523987,3341294664
143,2005,PRT,Portugal,10510967,1.91848E+11,4857621052,2152805584
144,2005,PRY,Paraguay,5904170,8734651354,203097396,543095573
145,2005,QAT,Qatar,821159,43040108650,518088753,23651236
146,2005,ROU,Romania,22113264,98913392472,1965420649,810784623
147,2005,RUS,Russian Federation,143932966,7.64001E+11,14490587680,754493194
148,2005,RWA,Rwanda,9429457,2581286407,77174963,50652959
149,2005,SAU,Saudi Arabia,24690067,3.2846E+11,5900090965,312126974
150,2005,SDN,Sudan,31585871,26524992225,611908843,526090467
151,2005,SEN,Senegal,11270826,8699015967,896372531,426588619
152,2005,SGP,Singapore,4495537,1.23507E+11,4836868141,18607824396
153,2005,SLB,Solomon Islands,469306,413909879,10471172,43988708
154,2005,SLE,Sierra Leone,5119895,1627853086,74820227,87725584
155,2005,SLV,El Salvador,6072538,17093800000,734363515,651334566
156,2005,SMR,San Marino,29775,1375416604,40989436,33124
157,2005,SRB,Serbia,9956359,25234408773,495321767,569517495
158,2005,STP,Sao Tome and Principe,154615,113808749,33448467,13888022
159,2005,SUR,Suriname,499523,1793557833,199133256,372360718
160,2005,SVK,Slovakia,5391489,61328471583,1772568375,854378993
161,2005,SVN,Slovenia,2000349,35717733757,981685607,1456067973
162,2005,SWE,Sweden,9030163,3.7058E+11,6135978757,5273948706
163,2005,SWZ,Swaziland,1104642,2584077931,209228671,165307051
164,2005,SYC,Seychelles,87094,919103262,259224333,337735672
165,2005,SYR,Syrian Arab Republic,18167367,28858965517,981708495,677391785
166,2005,TCD,Chad,10014413,5301956889,42158435,15246882
167,2005,TGO,Togo,5540214,2115154090,121253146,246295979
168,2005,THA,Thailand,65559487,1.76352E+11,2710917511,960487183
169,2005,TJK,Tajikistan,6805655,2312319579,155878129,101045190
170,2005,TKM,Turkmenistan,4747839,8104355717,109847476,8303620
171,2005,TON,Tonga,100960,264812954,50739702,30373662
172,2005,TTO,Trinidad and Tobago,1296933,16088526686,439373859,310126558
173,2005,TUN,Tunisia,10051352,32282960678,691383815,1486361129
174,2005,TUR,Turkey,67743052,4.8298E+11,2741872924,6771609203
175,2005,TUV,Tuvalu,9694,21839581,6821895,3465052
176,2005,TZA,United Republic of Tanzania,38824384,14141916592,293637559,748676525
177,2005,UGA,Uganda,28724869,9013834490,183272391,342831304
178,2005,UKR,Ukraine,47135932,86142018069,3898053204,3212126455
179,2005,URY,Uruguay,3325155,17362872710,418316460,158610001
180,2005,USA,United States of America,298165797,1.26471E+13,55436597766,41165734499
181,2005,UZB,Uzbekistan,26044401,14307509839,221349889,16420061
182,2005,VCT,Saint Vincent and the Grenadines,108749,551431645,79722131,78832924
183,2005,VEN,Venezuela (Bolivarian Republic of),26725897,1.45513E+11,3238437620,375114111
184,2005,VNM,Viet Nam,84947852,52917296789,2035490464,5280423765
185,2005,VUT,Vanuatu,209375,394962552,17220144,18947049
186,2005,WSM,Samoa,179928,412220560,86945094,72242023
187,2005,YEM,Yemen,20139661,16753787028,1619468307,1548534955
188,2005,ZAF,South Africa,48235291,2.47052E+11,2215318565,1710931532
189,2005,ZMB,Zambia,11470022,7178556337,115670938,148320898
190,2005,ZWE,Zimbabwe,12710589,5755215232,98256480,130387993
